Results,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
Time in s,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.
0.000000,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.008330,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.016660,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.024990,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.033320,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.041650,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.049980,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.058310,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.066640,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.074970,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.083300,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.091630,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.099960,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.108290,1.047475,1.049466,1.044225,1.036641,1.046363,1.049166,1.043667,1.041412,1.049991,1.050011,1.048895,1.039090,1.046975,1.042087,1.039314,1.042594,1.042789,1.042596,1.050019,0.991266,1.043609,1.050012,1.044491,1.045534,1.042008,1.050013,1.043314,1.038846,1.032006,1.020738,1.022455,0.999738,0.991190,1.002801,1.037760,1.050000,1.010411,0.990010,1.036629
0.116620,0.687677,0.887973,0.879968,0.826034,0.765180,0.770096,0.716229,0.689567,0.169574,0.816174,0.800293,0.801910,0.822318,0.841783,0.909115,0.939546,0.921469,0.905066,0.985025,0.944186,0.958601,0.982854,0.978114,0.951599,0.891819,0.926376,0.921090,0.937779,0.934788,0.933632,0.825529,0.809833,0.943926,0.968183,0.989383,1.005876,0.874355,0.907022,0.563216
0.124950,0.672809,0.869382,0.856347,0.795574,0.735463,0.740608,0.686433,0.659601,0.162205,0.787323,0.771225,0.772870,0.793446,0.812889,0.883208,0.915370,0.897812,0.881416,0.961949,0.923879,0.935984,0.961848,0.956312,0.927304,0.872641,0.905032,0.898734,0.916909,0.914810,0.921800,0.799840,0.784006,0.922048,0.949599,0.971888,0.984129,0.855086,0.889040,0.550663
0.133280,0.661901,0.856271,0.840218,0.775524,0.716117,0.721383,0.667231,0.640402,0.157483,0.768262,0.752108,0.753738,0.774347,0.793705,0.865589,0.898729,0.881506,0.865168,0.946166,0.909553,0.920224,0.947010,0.941148,0.910519,0.859125,0.890066,0.883184,0.902137,0.900603,0.913038,0.782753,0.766654,0.907591,0.936257,0.958956,0.969518,0.841395,0.876127,0.541151
0.141610,0.653748,0.846562,0.828549,0.761416,0.702603,0.707940,0.653914,0.627142,0.154222,0.754810,0.738657,0.740260,0.760855,0.780115,0.852907,0.886660,0.869652,0.853377,0.934829,0.899133,0.908678,0.936025,0.930067,0.898328,0.849133,0.879047,0.871802,0.891184,0.890035,0.906260,0.770643,0.754275,0.897425,0.926520,0.949042,0.959176,0.831227,0.866457,0.534008
0.149940,0.647589,0.839044,0.819622,0.750789,0.692465,0.697852,0.643961,0.617251,0.151790,0.744666,0.728530,0.730108,0.750674,0.769839,0.843241,0.877431,0.860569,0.844345,0.926274,0.891260,0.899780,0.927498,0.921552,0.889001,0.841408,0.870540,0.863046,0.882688,0.881823,0.900819,0.761517,0.744905,0.889859,0.919199,0.941163,0.951442,0.823348,0.858914,0.528745
0.158270,0.642921,0.833004,0.812461,0.742293,0.684371,0.689798,0.636017,0.609358,0.149849,0.736563,0.720442,0.722001,0.742537,0.761618,0.835498,0.870043,0.853288,0.837101,0.919544,0.885081,0.892619,0.920609,0.914724,0.881532,0.835204,0.863700,0.856016,0.875831,0.875193,0.896323,0.754268,0.737434,0.883995,0.913489,0.934698,0.945400,0.817016,0.852813,0.524995
0.166600,0.639396,0.827998,0.806484,0.735161,0.677577,0.683043,0.629338,0.602715,0.148216,0.729778,0.713665,0.715212,0.735720,0.754726,0.829022,0.863878,0.847214,0.831057,0.914016,0.880027,0.886622,0.914831,0.909025,0.875293,0.830061,0.858002,0.850156,0.870103,0.869658,0.892521,0.748253,0.731213,0.879236,0.908860,0.929233,0.940465,0.811763,0.847720,0.522469
0.174930,0.636766,0.823751,0.801345,0.728961,0.671666,0.677171,0.623514,0.596912,0.146788,0.723896,0.707786,0.709325,0.729810,0.748746,0.823421,0.858560,0.841986,0.825857,0.909310,0.875737,0.881440,0.909837,0.904114,0.869902,0.825688,0.853121,0.845125,0.865186,0.864911,0.889252,0.743098,0.725857,0.875228,0.904964,0.924497,0.936290,0.807292,0.843357,0.520943
0.183260,0.634849,0.820084,0.796831,0.723441,0.666402,0.671945,0.618313,0.591722,0.145512,0.718676,0.702563,0.704098,0.724563,0.743435,0.818458,0.853860,0.837380,0.821281,0.905191,0.871982,0.876856,0.905423,0.899779,0.865125,0.821901,0.848851,0.840710,0.860874,0.860755,0.886405,0.738576,0.721135,0.871753,0.901579,0.920309,0.932661,0.803413,0.839543,0.520236
