Results,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
Time in s,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.,u. Magnitude in p.u.
0.000000,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.008330,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.016660,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.024990,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.033320,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.041650,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.049980,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.058310,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
0.066640,1.046008,1.033142,1.020952,1.005747,1.009728,1.013616,0.999717,0.996662,1.038946,1.031856,1.024726,1.018121,1.026968,1.018084,1.015562,1.025593,1.024710,1.021102,1.050045,0.987440,1.023902,1.041350,1.032468,1.028866,1.050038,1.043504,1.026421,1.045938,1.050067,1.014188,0.997561,1.019519,1.007164,1.017371,1.050000,1.050000,1.041977,1.036133,1.050000
